wkt_geom,Event_ID,dt,Long,Lat,specie,taglocal,Individual,studyname,country
Point (-1401899.36870683403685689 7748600.22192600462585688),125225,8/11/2008 20:00,-56.88829725,-19.44643045,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1402094.54182142345234752 7750628.87640319112688303),125226,8/12/2008 5:00,-56.88809021,-19.42880771,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1404713.3369401718955487 7750436.23489110171794891),125227,8/12/2008 8:00,-56.91201003,-19.42804367,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1405802.97612673975527287 7750430.94899467844516039),125228,8/12/2008 14:00,-56.92188876,-19.4270812,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1406589.877827363088727 7749258.76716636586934328),125229,8/12/2008 20:00,-56.93016265,-19.43642909,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1407403.36730304011143744 7747739.80182422418147326),125230,8/12/2008 23:00,-56.93901752,-19.44873198,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1406026.84612083877436817 7746096.17424812167882919),125231,8/13/2008 8:00,-56.92814993,-19.46413648,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1406369.45472846669144928 7745968.65398553386330605),125232,8/13/2008 11:00,-56.93137957,-19.46491493,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1406388.08834729692898691 7746033.92466857191175222),125233,8/13/2008 14:00,-56.93148462,-19.46433659,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1406395.50140605308115482 7746024.71153987199068069),125234,8/13/2008 17:00,-56.93156081,-19.46440891,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1408432.37424703990109265 7747950.19974661618471146),125235,8/14/2008 2:00,-56.94813575,-19.44596942,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1408617.91802730434574187 7748061.55988452956080437),125236,8/14/2008 5:00,-56.94970803,-19.4448402,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1408944.02410506899468601 7748509.96561143919825554),125237,8/14/2008 8:00,-56.95222432,-19.44068375,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1407947.16765690874308348 7749695.53433641232550144),125238,8/14/2008 20:00,-56.9420342,-19.4314176,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1405809.85539469891227782 7748005.8041114192456007),125239,8/14/2008 23:00,-56.9243177,-19.44792213,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1405671.10014382214285433 7747160.81698161549866199),125240,8/15/2008 2:00,-56.92388554,-19.4553144,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1405686.15219384292140603 7747144.46829192340373993),125241,8/15/2008 5:00,-56.92403792,-19.45544099,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1407987.98090452840551734 7748050.85704329237341881),125242,8/15/2008 20:00,-56.94401078,-19.44551633,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1410979.42430868325755 7749420.23749600537121296),125243,8/16/2008 2:00,-56.96977403,-19.43097247,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1410997.54452102049253881 7749422.48419333063066006),125244,8/16/2008 5:00,-56.96993598,-19.43093635,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1410847.59809725685045123 7749018.06351327896118164),125245,8/16/2008 20:00,-56.96897317,-19.43455109,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1405396.06838747090660036 7749740.05763833504170179),125246,8/17/2008 2:00,-56.91887549,-19.43339692,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1405232.16079713311046362 7749935.45093215070664883),125247,8/17/2008 5:00,-56.91719966,-19.43186887,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1405308.01951162586919963 7749732.75647479481995106),125248,8/17/2008 11:00,-56.91808475,-19.43354116,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1405268.27812007302418351 7749744.41266923956573009),125249,8/17/2008 14:00,-56.91771326,-19.43347773,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1405281.9548908167053014 7749686.16208434104919434),125250,8/17/2008 17:00,-56.91789401,-19.43396583,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1405420.85019437619484961 7748569.35458128247410059),125251,8/17/2008 20:00,-56.92024234,-19.44343791,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1404975.28009905549697578 7746599.03379636537283659),125252,8/17/2008 23:00,-56.91812824,-19.46078845,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1405233.56500669475644827 7746158.94722564518451691),125253,8/18/2008 2:00,-56.92089909,-19.46433228,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1405263.21651619113981724 7746122.09411822818219662),125254,8/18/2008 5:00,-56.92120384,-19.4646216,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1405255.01576128299348056 7746124.03345328941941261),125255,8/18/2008 8:00,-56.92112762,-19.46461253,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1405248.50340888951905072 7746141.56015097908675671),125256,8/18/2008 11:00,-56.92105147,-19.4644679,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1405504.22009690222330391 7745668.09806939959526062),125257,8/18/2008 14:00,-56.92383184,-19.46830087,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1405197.27331149345263839 7746134.49137305095791817),125258,8/18/2008 20:00,-56.92059407,-19.46457615,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1405381.77297353697940707 7746158.66870234999805689),125259,8/18/2008 23:00,-56.92224259,-19.4641973,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1405227.19806382223032415 7746206.94771464727818966),125260,8/19/2008 2:00,-56.92079448,-19.46392555,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1405291.84357534535229206 7746163.15045964624732733),125261,8/19/2008 5:00,-56.92142317,-19.46424213,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1407729.48403438599780202 7745730.9393646065145731),125262,8/19/2008 23:00,-56.94393716,-19.46569645,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1406392.31321752117946744 7743899.13644178491085768),125263,8/20/2008 0:00,-56.9336114,-19.48268292,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1409172.90102850133553147 7746009.93485132977366447),125264,8/20/2008 2:00,-56.9567438,-19.46195854,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1408981.69637470180168748 7745477.54338464699685574),125265,8/20/2008 5:00,-56.95553247,-19.46671183,Panthera onca,152351,113,Sao Bento,Brazil
Point (-1408473.21624792576767504 7745374.89666380826383829),125266,8/20/2008 14:00,-56.95102529,-19.46806625,Panthera onca,152351,113,Sao Bento,Brazil
